#bytes,#repetitions,t[usec],Mbytes/sec
128,1000,1.24,103.15
256,1000,1.45,176.76
512,1000,1.53,335.62
1024,1000,1.69,607.00
2048,1000,2.35,869.73
4096,1000,3.21,1275.40
8192,1000,4.49,1822.77
16384,1000,6.28,2609.10
32768,1000,8.47,3868.02
65536,640,12.38,5294.52
131072,320,18.67,7020.87
262144,160,31.94,8206.71
524288,80,57.27,9155.29
1048576,40,98.45,10650.34
2097152,20,182.43,11495.36
4194304,10,353.30,11871.89
8388608,5,693.06,12103.67
16777216,2,1383.69,12124.95
33554432,1,2759.58,12159.27
67108864,1,5514.03,12170.56
134217728,1,11009.86,12190.68
268435456,1,22054.23,12171.61
